Club Code,Address
Club Code,Address 
AZPS1,"7000 E Mayo Blvd, Bldg 13 Phoenix AZ 85054"
AZSNR,14843 N Northsight Blvd Scottsdale AZ 85260
AZPCC,12211 N Cave Creek Rd Phoenix AZ 85022
AZPTC,12869 N Tatum Blvd Phoenix AZ 85032
AZSFV,"11275 E Via Linda, Scottsdale AZ 85259"
AZMGM,"1954 E Mckellips Rd AZ, Mesa AZ 84203"
AZMG6,1728 S Greenfield Rd Mesa AZ 85206
AZMS6,"1558 S Signal Butte Rd, Mesa, AZ 85209"
AZMEB,"9101 E Baseline Rd, Mesa AZ 85209"
AZMLU,"2740 E University Dr, Mesa, AZ 85213"
AZGVP,3025 S Val Vista Dr Gilbert AZ 85295
AZGHP,3300 S Higley Rd Gilbert AZ 85297
AZGPG,7540 S Power Rd Gilbert AZ 85297
AZQER,20722 E Riggs Rd Queen Creek AZ 85142
AZMA6,1661 S Alma School Rd Mesa  AZ 85210
AZMGB,2156 E Baseline Rd Gilbert AZ 85204
AZCCR,"1970 E Ray Rd, Chandler AZ 85225"
AZCRR,"4949 W. Ray Rd, Chandler AZ 85226"
AZCGO,"4185 S Gilbert Rd, Chandler AZ 85249"
AZPLD,10160 W Lake Pleasant Pkwy Peoria AZ 85382
AZS3B,16750 W Bell Rd Surprise AZ 85374
AZSLW,13644 N Litchfield Rd Surprise AZ 85379
AZGPM,15277 W McDowell Rd Goodyear AZ 85395
AZADT,"3005 N Dysart Rd, Avondale AZ 85392"
AZG51,"20255 N 59th Ave, Glendale AZ 85308"
AZG5T,"5860 W Thunderbird Rd, Glendale AZ 85306"
AZG5O,"5070 W Olive Ave, Glendale  AZ 85302"
AZP8T,8440 W Thunderbird Rd Peoria AZ 85381
AZP7B,"2814 W Bell Rd STE 1430, Phoenix AZ 85053"
AZP7E,7400 W Encanto Blvd Phoenix AZ 85035
AZG8C,"5070 N 83rd Ave, Glendale AZ 85305"
AZPCW,"1 E Washington St, Ste 250 Phoenix AZ 85004"
AZPCO,3110 N Central Ave Phoenix AZ 85012
AZG4G,4355 W Glendale Ave Glendale AZ 85301
AZP1B,1812 W Baseline Rd Phoenix AZ 85041
AZL5B,"5910 W Baseline Rd, Laveen, AZ 85339"
AZT1W,1727 W Ranch Rd Tempe AZ 85284
AZTMW,"1840 E Warner Rd, Ste 111 Tempe AZ 85284"
AZTRG,"750 E Guadalupe Rd, Tempe AZ 85283"
AZQSQ,"20610 S. Signal Butte Rd, Queen Creek AZ 85142"
AZP5B,"1515 E Bethany Home Rd., Phoenix, AZ 85014"
Club Code,
CAFSC,
CAHNC,
CALGC,
CASTB,
CAWSW,
CASSA,
CARTA,
CAMMM,
CAWWT,
CAL1R,
CAJP6,
CACBE,
CATMT,
CAEEG,
CALAW,
CAOMC,
CASCS,
CAI1J,
CAPPA,
CAPWC,
CAMN6,
CARAA,
,
,
CAASL,
CAABH,
CACCS,
CACSM,
CAFSH,
CAGEK,
CAGCB,
CAGVC,
CALCS,
CALBH,
CALF8,
CAMFM,
CANLS,
CANTN,
CAOVE,
CARMM,
CASCC,
CASLS,
CASFL,
CATMH,
CAVMT,
CAWS1,
CALPS,
Club Code,
NVLBL,
NVLD2,
NVNAC,
NVNCC,
NVNLC,
NVLRC,
NVLCS,
NVLDA,
NVLDT,
NVLPR,
NVLRA,
NVHSA,
NVHSP,
NVHSS,
NVLDB,
NVLMS,
NVHES,
Club Code,
UTLFG,
UTOK2,
UTR15,
UTS1A,
UTKSF,
UTBM2,
UTM95,
UTS75,
UTTR5,
UTWPC,
UTSJB,
UTOMU,
UTS1S,
Club Code,
FLCUR,
FLB4G,
FLKKR,
FLBCG,
FLPAP,
FLLB5,
FLLO5,
FLOHC,
FLC1S,
FLKMO,
FLMWB,
FLRGB,
FLSTP,
FLTDB,
FLTTE,
FLHL5,
FLLL5,
Club Code,
TXERG,
TXFMA,
TXDCB,
TXPPP,
TXNRH,
TXACB,
TXH8G,
TXHGA,
TXSW6,
TXHWG,
TXCG5,
TXKS1,
TXR27,
TXRGA,
TXSSL,
TXHEB,
TXFPL,
TXHTG,
TXALW,
